ZIP5,TIMEZONE,LAST_UPDT_DATE
32550,US/Central,2022-03-03 01:45:00
32559,US/Central,2022-03-03 01:45:00
32560,US/Central,2022-03-03 01:45:00
32561,US/Central,2022-03-03 01:45:00
32562,US/Central,2022-03-03 01:45:00
32563,US/Central,2022-03-03 01:45:00
32564,US/Central,2022-03-03 01:45:00
32565,US/Central,2022-03-03 01:45:00
32566,US/Central,2022-03-03 01:45:00
32567,US/Central,2022-03-03 01:45:00
32568,US/Central,2022-03-03 01:45:00
32569,US/Central,2022-03-03 01:45:00
32570,US/Central,2022-03-03 01:45:00
32571,US/Central,2022-03-03 01:45:00
32572,US/Central,2022-03-03 01:45:00
32577,US/Central,2022-03-03 01:45:00
32578,US/Central,2022-03-03 01:45:00
32579,US/Central,2022-03-03 01:45:00
32580,US/Central,2022-03-03 01:45:00
32583,US/Central,2022-03-03 01:45:00
32588,US/Central,2022-03-03 01:45:00
32591,US/Central,2022-03-03 01:45:00
50001,US/Central,2022-03-03 01:45:00
50002,US/Central,2022-03-03 01:45:00
50003,US/Central,2022-03-03 01:45:00
50005,US/Central,2022-03-03 01:45:00
50006,US/Central,2022-03-03 01:45:00
50007,US/Central,2022-03-03 01:45:00
50008,US/Central,2022-03-03 01:45:00
50009,US/Central,2022-03-03 01:45:00
50010,US/Central,2022-03-03 01:45:00
50011,US/Central,2022-03-03 01:45:00
50012,US/Central,2022-03-03 01:45:00
50013,US/Central,2022-03-03 01:45:00
50014,US/Central,2022-03-03 01:45:00
50020,US/Central,2022-03-03 01:45:00
50021,US/Central,2022-03-03 01:45:00
50022,US/Central,2022-03-03 01:45:00
50023,US/Central,2022-03-03 01:45:00
50025,US/Central,2022-03-03 01:45:00
50026,US/Central,2022-03-03 01:45:00
50027,US/Central,2022-03-03 01:45:00
50028,US/Central,2022-03-03 01:45:00
50029,US/Central,2022-03-03 01:45:00
50031,US/Central,2022-03-03 01:45:00
50032,US/Central,2022-03-03 01:45:00
50033,US/Central,2022-03-03 01:45:00
50034,US/Central,2022-03-03 01:45:00
50035,US/Central,2022-03-03 01:45:00
50036,US/Central,2022-03-03 01:45:00
50037,US/Central,2022-03-03 01:45:00
50038,US/Central,2022-03-03 01:45:00
50039,US/Central,2022-03-03 01:45:00
50040,US/Central,2022-03-03 01:45:00
50041,US/Central,2022-03-03 01:45:00
50042,US/Central,2022-03-03 01:45:00
50043,US/Central,2022-03-03 01:45:00
50044,US/Central,2022-03-03 01:45:00
50046,US/Central,2022-03-03 01:45:00
50047,US/Central,2022-03-03 01:45:00
50048,US/Central,2022-03-03 01:45:00
50049,US/Central,2022-03-03 01:45:00
50050,US/Central,2022-03-03 01:45:00
50051,US/Central,2022-03-03 01:45:00
50052,US/Central,2022-03-03 01:45:00
50054,US/Central,2022-03-03 01:45:00
50055,US/Central,2022-03-03 01:45:00
50056,US/Central,2022-03-03 01:45:00
50057,US/Central,2022-03-03 01:45:00
50058,US/Central,2022-03-03 01:45:00
50059,US/Central,2022-03-03 01:45:00
50060,US/Central,2022-03-03 01:45:00
50061,US/Central,2022-03-03 01:45:00
50062,US/Central,2022-03-03 01:45:00
50063,US/Central,2022-03-03 01:45:00
50064,US/Central,2022-03-03 01:45:00
50065,US/Central,2022-03-03 01:45:00
50066,US/Central,2022-03-03 01:45:00
50067,US/Central,2022-03-03 01:45:00
50068,US/Central,2022-03-03 01:45:00
50069,US/Central,2022-03-03 01:45:00
50070,US/Central,2022-03-03 01:45:00
50071,US/Central,2022-03-03 01:45:00
50072,US/Central,2022-03-03 01:45:00
50073,US/Central,2022-03-03 01:45:00
50074,US/Central,2022-03-03 01:45:00
50075,US/Central,2022-03-03 01:45:00
50076,US/Central,2022-03-03 01:45:00
50078,US/Central,2022-03-03 01:45:00
50099,US/Central,2022-03-03 01:45:00
50101,US/Central,2022-03-03 01:45:00
50102,US/Central,2022-03-03 01:45:00
50103,US/Central,2022-03-03 01:45:00
50104,US/Central,2022-03-03 01:45:00
50105,US/Central,2022-03-03 01:45:00
50106,US/Central,2022-03-03 01:45:00
50107,US/Central,2022-03-03 01:45:00
50108,US/Central,2022-03-03 01:45:00
50109,US/Central,2022-03-03 01:45:00
50110,US/Central,2022-03-03 01:45:00
50111,US/Central,2022-03-03 01:45:00
50112,US/Central,2022-03-03 01:45:00
50115,US/Central,2022-03-03 01:45:00
50116,US/Central,2022-03-03 01:45:00
50117,US/Central,2022-03-03 01:45:00
50118,US/Central,2022-03-03 01:45:00
50119,US/Central,2022-03-03 01:45:00
50120,US/Central,2022-03-03 01:45:00
50122,US/Central,2022-03-03 01:45:00
50123,US/Central,2022-03-03 01:45:00
50124,US/Central,2022-03-03 01:45:00
50125,US/Central,2022-03-03 01:45:00
50126,US/Central,2022-03-03 01:45:00
50127,US/Central,2022-03-03 01:45:00
50128,US/Central,2022-03-03 01:45:00
50129,US/Central,2022-03-03 01:45:00
50130,US/Central,2022-03-03 01:45:00
50131,US/Central,2022-03-03 01:45:00
50132,US/Central,2022-03-03 01:45:00
50133,US/Central,2022-03-03 01:45:00
50134,US/Central,2022-03-03 01:45:00
50135,US/Central,2022-03-03 01:45:00
